"","X1","X2"
"1",1965,NA
"2",1966,16.6
"3",1967,797.3
"4",1968,499
"5",1969,762.4
"6",1970,1007.6
"7",1971,396.2
"8",1972,869.8
"9",1973,588
"10",1974,462
"11",1975,1016.7
"12",1976,304.1
"13",1977,482.9
"14",1978,601.6
"15",1979,799.7
"16",1980,1234.5
"17",1981,588.5
"18",1982,912
"19",1983,1009.9
"20",1984,752.5
"21",1985,576.9
"22",1986,751.7
"23",1987,305.5
"24",1988,967.1
"25",1989,644.9
"26",1990,485
"27",1991,0
"28",1992,0
"29",1993,0
"30",1994,871.6
"31",1995,476
"32",1996,377.8
"33",1997,781.2
"34",1998,448
"35",1999,1107
"36",2000,44.44
"37",2001,249.1
"38",2002,380.9
"39",2003,315.1
"40",2004,605
"41",2005,448.24
"42",2006,340.996
"43",2007,633.152
"44",2008,620.7
"45",2009,703.717
"46",2010,677.499
"47",2011,666.801
"48",2012,571.619
"49",2013,792.111
"50",2014,1034.935
"51",2015,0
