"","X1","X2"
"1",1965,14.8
"2",1966,41.6
"3",1967,1010.3
"4",1968,1671.9
"5",1969,1680.8
"6",1970,9172.5
"7",1971,5226
"8",1972,721.9
"9",1973,9812
"10",1974,1554.8
"11",1975,9275.9
"12",1976,6186.4
"13",1977,3331.7
"14",1978,71.1
