"","X1","X2"
"1",1989,NA
"2",1990,NA
"3",1991,5.701
"4",1992,208
"5",1993,271.9
"6",1994,2.15
"7",1995,NA
"8",1996,14.5
"9",1997,466.6
"10",1998,827.7
"11",1999,991.1
"12",2000,534.32
"13",2001,1179.319
"14",2002,658.418
"15",2003,671.628
"16",2004,643.784
"17",2005,479.371
"18",2006,685.987
"19",2007,413.081
"20",2008,685.447
"21",2009,599.466
"22",2010,33.301
"23",2011,80.526
"24",2012,420
"25",2013,350.627
"26",2014,9.187
"27",2015,9.305
