"","X1","X2"
"1",1975,2075.1
"2",1976,15869.1
"3",1977,9221
"4",1978,18600
"5",1979,17780.699
"6",1980,15305.2
"7",1981,13013.9
"8",1982,7107.7
"9",1983,13979.1
"10",1984,5070.1
"11",1985,942.7
"12",1986,666.8
"13",1987,902.9
"14",1988,12798
"15",1989,13571
"16",1990,14145
"17",1991,12915
"18",1992,4834
"19",1993,10325
"20",1994,15057
"21",1995,1022
"22",1996,17335
"23",1997,14829
"24",1998,31018
"25",1999,7151
"26",2000,6423
"27",2001,1829
"28",2002,1086.795
"29",2003,266.021
"30",2004,863.11
"31",2005,1472.9
"32",2006,19061.523
"33",2007,119.392
