"","X1","X2"
"1",1985,NA
"2",1986,3094.7
"3",1987,323.64
"4",1988,2191.8
"5",1989,1176
"6",1990,3785
"7",1991,2739
"8",1992,3247.8
"9",1993,1905
"10",1994,6415
"11",1995,3985
"12",1996,928.7
"13",1997,4478
"14",1998,3517
"15",1999,3612
"16",2000,1892
"17",2001,2532.461
"18",2002,3973.45
"19",2003,2516.588
"20",2004,603.924
"21",2005,3809.981
"22",2006,3306.034
"23",2007,2132.281
"24",2008,2645.502
"25",2009,1313.678
"26",2010,2426.665
"27",2011,2906.904
"28",2012,2567.199
"29",2013,2999.699
"30",2014,3070.539
"31",2015,1034.837
"32",2016,4.303
