"","X1","X2"
"1",1979,379.8
"2",1980,1917.6
"3",1981,1290
"4",1982,1430.6
"5",1983,1470
"6",1984,1413.2
"7",1985,1409
"8",1986,1641.3
"9",1987,1392
"10",1988,1484
"11",1989,1305
"12",1990,1508
"13",1991,2183
"14",1992,1257
"15",1993,813.5
"16",1994,725.7
"17",1995,756.7
"18",1996,633.3
"19",1997,1650
"20",1998,1051
"21",1999,625.8
"22",2000,787.1
"23",2001,933.2
"24",2002,882.7
"25",2003,725.263
"26",2004,1832
"27",2005,1422
"28",2006,902.69
"29",2007,832.529
"30",2008,876.632
"31",2009,801.436
"32",2010,693.617
"33",2011,842.944
"34",2013,692.933
