"","X1","X2"
"1",1972,66.5
"2",1973,512.1
"3",1974,85.5
"4",1975,1070.3
"5",1976,1679
"6",1977,1661.6
"7",1978,1429.7
"8",1979,811.9
"9",1980,1833.7
"10",1981,454.7
"11",1982,252.1
"12",1983,1050.9
"13",1984,747.2
"14",1985,147.8
"15",1986,941.4
"16",1987,196.1
"17",1988,1000
"18",1989,269.5
"19",1990,2371
"20",1991,1317
"21",1992,428.3
"22",1993,565.9
"23",1994,2505
"24",1995,117.3
"25",1996,90.38
"26",1997,2592
"27",1998,188.6
"28",1999,1453
"29",2000,122.2
"30",2001,275
"31",2002,752.3
"32",2003,65.32
"33",2004,2793.26
"34",2005,3174
"35",2006,55.55
"36",2007,NA
