"","X1","X2"
"1",1967,6.28
"2",1968,2360.2
"3",1969,6190.4
"4",1970,1972.2
"5",1971,4827.4
"6",1972,4333.6
"7",1973,4602.9
"8",1974,1729.7
"9",1975,2452.1
"10",1976,6564.2
"11",1977,2094.9
"12",1978,2970.3
"13",1979,3545.5
"14",1980,3705
"15",1981,4763.5
"16",1982,2215.6
"17",1983,5990
"18",1984,3195.4
"19",1985,2443.3
"20",1986,1810.7
"21",1987,1323
"22",1988,3455
"23",1989,5406
"24",1990,4785
"25",1991,4280
"26",1992,2160
"27",1993,1816
"28",1994,8210
"29",1995,1749
"30",1996,2194
"31",1997,4203
"32",1998,1349
"33",1999,1344
"34",2000,919.6
"35",2001,583.5
"36",2002,1703
"37",2003,605.8
"38",2004,4006
"39",2005,4007.216
"40",2006,0
"41",2007,NA
"42",2008,NA
"43",2009,NA
"44",2010,NA
"45",2011,NA
"46",2012,NA
"47",2013,NA
"48",2014,NA
