"","X1","X2"
"1",1965,1319.7
"2",1966,4309.3
"3",1967,2063.9
"4",1968,1746.385
"5",1969,3188.3
"6",1970,5734.3
"7",1971,1046.1
"8",1972,1480
"9",1973,3551.513
"10",1974,1142.23
"11",1975,5277.84
"12",1976,6137.26
"13",1977,3641.55
"14",1978,2552
"15",1979,4130
"16",1980,4873.4
"17",1981,3712.7
"18",1982,1948.1
"19",1983,3453
"20",1984,353.4
"21",1985,2141.3
"22",1986,2137
"23",1987,741.2
"24",1988,4960
"25",1989,5591.4
"26",1990,5510
"27",1991,1125
"28",1992,4533
"29",1993,3676
"30",1994,5334
"31",1995,6591
"32",1996,2082
"33",1997,528.1
"34",1998,2192
"35",1999,4109
"36",2000,4658
"37",2001,4530.482
"38",2002,7094.047
"39",2003,4117.763
"40",2004,721.299
"41",2005,7140.298
"42",2006,6816.833
"43",2007,1131.726
"44",2008,578.231
"45",2009,833.022
"46",2010,6748.89
"47",2011,2404.914
"48",2012,6741.071
"49",2013,9060.869
"50",2014,2606.534
"51",2015,2.666
