"","X1","X2"
"1",1979,31
"2",1980,45.2
"3",1981,634
"4",1982,89.5
"5",1983,149.6
"6",1984,69.8
"7",1985,58.6
"8",1986,107
"9",1987,267.4
"10",1988,222
"11",1989,329.5
"12",1990,137.5
"13",1991,92.43
"14",1992,19.03
"15",1993,331.4
"16",1994,2.826
"17",1995,100.7
"18",1996,170.6
"19",1997,33.73
"20",1998,181.4
"21",1999,23.63
"22",2000,51.3
"23",2001,177.7
"24",2003,11.98
"25",2004,6.203
"26",2005,0.429
"27",2006,NA
"28",2007,NA
"29",2008,NA
"30",2009,NA
"31",2010,NA
"32",2012,NA
"33",2013,NA
"34",2014,NA
