"","X1","X2"
"1",1979,NA
"2",1980,NA
"3",1981,NA
"4",1982,NA
"5",1983,NA
"6",1984,NA
"7",1985,NA
"8",1986,NA
"9",1987,NA
"10",1988,13.29
"11",1989,17.56
"12",1990,70.67
"13",1991,92.65
"14",1992,614.7
"15",1993,421.5
"16",1994,640
"17",1995,362.7
"18",1996,256
"19",1997,236
"20",1998,109.2
"21",1999,347.3
"22",2000,259.384
"23",2001,324.779
"24",2002,349.391
"25",2003,311.531
"26",2004,301.775
"27",2005,269.981
"28",2006,285.623
"29",2007,275.039
"30",2008,203.11
"31",2009,295.943
"32",2010,116.671
"33",2011,288.4
"34",2012,121.178
"35",2013,113.739
"36",2014,14.15
"37",2015,19.548
