"","X1","X2"
"1",1965,3190
"2",1966,2700
"3",1967,3734.96
"4",1968,4987
"5",1969,3523.433
"6",1970,5714
"7",1971,3448
"8",1972,1152.1
"9",1973,1867.1
"10",1974,2352.7
"11",1975,6214.2
"12",1976,465.8
"13",1977,1863.5
"14",1978,6723.1
"15",1979,2148.9
"16",1980,4779.4
"17",1981,4345.2
"18",1982,3997.8
"19",1983,2771.6
"20",1984,2943.8
"21",1985,1156
"22",1986,2857.9
"23",1987,1423
"24",1988,3455
"25",1989,2787
"26",1990,2989
"27",1991,3748
"28",1992,4075
"29",1993,4879
"30",1994,6971
"31",1995,1209
"32",1996,4374
"33",1997,3083
"34",1998,6036
"35",1999,2667
"36",2000,2628.943
"37",2001,3213.368
"38",2002,1268
"39",2003,534
"40",2004,1481
"41",2005,4650.592
"42",2006,5667.377
"43",2007,8100.689
"44",2008,6397.334
"45",2009,8749.802
"46",2010,5493.954
"47",2011,3773.979
"48",2012,3.87
"49",2013,4754.562
"50",2014,2.531
"51",2015,15.432
