"","X1","X2"
"1",1982,987.2
"2",1983,577.3
"3",1984,473.3
"4",1985,185.9
"5",1986,685.7
"6",1987,812.9
"7",1988,878.2
"8",1989,1298
"9",1990,135.2
"10",1991,1472
"11",1992,490.1
"12",1993,776.6
"13",1994,499.6
"14",1995,572.8
"15",1996,1240
"16",1997,313.2
"17",1998,1173
"18",1999,582
"19",2000,571.23
"20",2001,530.336
"21",2002,277.635
"22",2003,344.942
"23",2004,934.486
"24",2005,553.754
"25",2006,452.753
"26",2007,807.57
"27",2008,356.72
"28",2009,1147.774
"29",2010,1022.578
"30",2011,184.877
"31",2013,112.397
"32",2014,92.606
