"","X1","X2"
"1",1965,85.5
"2",1966,19.5
"3",1967,59
"4",1969,9330.9
"5",1970,7977.7
"6",1971,5679
"7",1972,7428.1
"8",1973,8584
"9",1974,6229.1
"10",1975,9205.8
"11",1976,54.8
"12",1990,NA
"13",2013,NA
