"","X1","X2"
"1",1979,NA
"2",1980,3.6
"3",1981,52.4
"4",1982,92
"5",1983,6.9
"6",1984,38.5
"7",1985,17
"8",1986,29.8
"9",1987,21.44
"10",1988,27.15
"11",1989,20.667
"12",1990,1.398
"13",1991,24.6
"14",1992,NA
"15",1993,NA
"16",1994,0.87
"17",1995,4.095
"18",1996,1.357
"19",1997,0
"20",1998,0
"21",2000,2.438
"22",2002,0
