"","X1","X2"
"1",1965,59.83
"2",1966,680.3
"3",1967,8595.1
"4",1968,7151.7
"5",1969,16486
"6",1970,14596.3
"7",1971,7122.4
"8",1972,4312.8
"9",1973,8333.2
"10",1974,16473.1
"11",1975,18110.699
"12",1976,14407.8
"13",1977,6614.7
"14",1978,18255.699
"15",1979,21559.801
"16",1980,15450
"17",1981,12918.7
"18",1982,6540.3
"19",1983,14392.7
"20",1984,3831.8
"21",1985,955.7
"22",1986,2675
"23",1987,702.3
"24",1988,12959
"25",1989,11930
"26",1990,14010
"27",1991,8806
"28",1992,4913
"29",1993,10144
"30",1994,13914
"31",1995,1581
"32",1996,13740
"33",1997,15214
"34",1998,23689
"35",1999,6212
"36",2000,2956.996
"37",2001,2413.844
"38",2002,726.649
"39",2003,417.301
"40",2004,1036.677
"41",2005,16792.732
"42",2006,17485.043
"43",2007,15956.373
"44",2008,8407.545
"45",2009,16060.661
"46",2010,6020.967
"47",2011,12951.176
"48",2012,155.113
"49",2013,13433.904
"50",2014,303.68
"51",2015,214.56
