"","X1","X2"
"1",1996,4.032
"2",1997,28.53
"3",1998,29.64
"4",1999,27.27
"5",2000,18.19
"6",2001,22.067
"7",2002,17.859
"8",2003,538.096
"9",2004,182.18
"10",2005,579.828
"11",2006,21.277
"12",2007,88.104
"13",2008,93.559
"14",2009,280.816
"15",2010,371.489
"16",2011,42.877
"17",2012,18.215
"18",2013,23.688
"19",2014,3.089
